country,os,count,day,month,weekday,ordinal_day
YX,W,12304,3,3,7,63
YX,X,81861,3,3,7,63
YX,Y,332716,3,3,7,63
YY,T,2,3,3,7,63
YY,W,9191,3,3,7,63
YY,X,473000,3,3,7,63
YY,Y,3431691,3,3,7,63
YZ,W,37,3,3,7,63
YZ,X,10502,3,3,7,63
YZ,Y,10973,3,3,7,63
ZX,W,458,3,3,7,63
ZX,X,59310,3,3,7,63
ZX,Y,141518,3,3,7,63
XX,T,92,4,3,1,64
XX,W,374019,4,3,1,64
XX,X,1484966,4,3,1,64
XX,Y,4540594,4,3,1,64
XY,T,10,4,3,1,64
XY,W,17419,4,3,1,64
XY,X,369278,4,3,1,64
XY,Y,1124717,4,3,1,64
XZ,T,2,4,3,1,64
XZ,W,23056,4,3,1,64
XZ,X,210862,4,3,1,64
XZ,Y,868332,4,3,1,64
YX,W,12505,4,3,1,64
YX,X,82913,4,3,1,64
YX,Y,340363,4,3,1,64
YY,T,2,4,3,1,64
YY,W,11594,4,3,1,64
YY,X,540144,4,3,1,64
